groupName,projectName,projectDescription,type,description,contextOfUse,inputs,outputs,metrics,standOutFeatures,token for 10k solving,Access
Treatments Library,Eplerenone,Oishi - 2016,PK,"Eplerenone is a medication primarily used to treat high blood pressure (hypertension) and heart failure. It belongs to a class of drugs known as aldosterone antagonists. By blocking the effects of aldosterone, a hormone that can cause the body to retain sodium and water, eplerenone helps to lower blood pressure and reduce fluid buildup in the body. It is often prescribed following a heart attack or for conditions like chronic heart failure to improve heart function and prevent further damage.This model is a one-compartment pharmacokinetic (PK) model incorporating body weight, creatinine clearance, age, ethnicity and disease status (healthy or chronic heart failure) as covariates to account for interindividual variability in drug disposition.","- Treatment: Eplerenone
- Species: Human
- Pathology: Hypertension and heart failure
- Biological context: The model was developed to characterize eplerenone pharmacokinetics (PK) in Japanese chronic heart failure patients and to estimate the impact of factors that may affect eplerenone PK, population pharmacokinetic.
- Virtual population characteristics: Parameters are given in the Example folder and were extracted from the manuscripts.
- Time scale: hours
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  dose
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  patient_weight
- Creatinine clearance:  CrCL
- Age:  age
- Ethnicity :  ethnicity
- Disease status:  disease
- Gender :  gender
Standard simulations:
- Simple PK (Single dose):  Duration: 50 hours; Observation Frequency: 30 minutes","Suggested Outputs:
- Drug concentrations  in plasma  (Tag(s): Outputs)  :    MassDrugConcentrationCentral","- Variables (2) : Eplerenone in depot and central compartment
- Bioreactions (2):  Drug absorption, drug clearance in central compartment
- ODEs (0): None.
- Parameters (34): Drug pharmacokinetic and patient related.
- Compartments (2): depot and central compartment","- Possibility to design the administration protocol (dose, frequency)
- Possibility to vary patients characteristics (body-weight, creatinine clearance, age, ethnicity)",200,Freemium
Treatments Library,Dapagliflozin,FDA,PK,"Dapagliflozin is an oral antidiabetic medication that belongs to the class of SGLT2 inhibitors (sodium-glucose co-transporter 2 inhibitors). It lowers blood sugar levels in people with type 2 diabetes by preventing glucose reabsorption in the kidneys, leading to increased glucose excretion in the urine. Dapagliflozin is also used to treat heart failure and chronic kidney disease, offering cardiovascular and renal protection beyond its glucose-lowering effects.This model is a two-compartments pharmacokinetic (PK) model incorporating body weight, creatinine clearance, and gender as covariates to account for interindividual variability in drug disposition.","- Treatment: Dapagliflozin
- Species: Human
- Pathology: Type 2 diabetes, heart failure and chronic kidney disease
- Biological context: Pop PK modeling
- Virtual population characteristics: Parameters are given in the Example folder and were extracted from the FDA manuscript.
- Time scale: hours
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  dose
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  patient_weight
- Creatinine clearance:  CrCL
- gender:  gender  
Standard simulations:
- Simple PK (single dose):  Duration: 1 day; Observation Frequency: 30 minutes","Suggested Outputs:
- Drug concentrations  in plasma  (Tag(s): Outputs)  :    MassDrugConcentrationCentral","- Variables (3) : Bisoprolol in depot, central and peripheral compartment
- Bioreactions (4):  Drug absorption, drug clearance in central compartment and drug intercompartmental clearance
- ODEs (0): None.
- Parameters (29): Drug pharmacokinetic and patient related.
- Compartments (3): depot, central and peripheral compartment","- Possibility to design the administration protocol (dose, frequency)
- Possibility to vary patients characteristics (body-weight, creatinine clearance, gender)",200,Freemium
Treatments Library,Bisoprolol,Trobec - 2016,PK,"Bisoprolol is a beta-blocker used primarily to treat high blood pressure (hypertension) and heart-related conditions such as angina and heart failure. It works by slowing the heart rate and reducing the heart's workload, helping to lower blood pressure and improve heart efficiency. Bisoprolol is usually taken once daily in tablet form.This model is a one-compartment pharmacokinetic (PK) model incorporating body weight, creatinine clearance estimated by MDRD-4, and skeletal muscle mass index (SMI) as covariates to account for interindividual variability in drug disposition.","- Treatment: Bisoprolol
- Species: Human
- Pathology: Hypertension and heart related disease
- Biological context: The model was developed to investigate bisoprolol pharmacokinetics, including longitudinal changes and importance of patient characteristics in chronic heart failure
- Virtual population characteristics: Parameters are given in the Example folder and were extracted from the manuscripts.
- Time scale: hours
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  dose
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  patient_weight
- Creatinine clearance:  MDRD4
- Patient skeletal muscle mass index:  SMI
Standard simulations:
- Advanced PK (Several doses):  Duration: 8 Days; Observation Frequency: 10 minutes","Suggested Outputs:
- Drug concentrations  in plasma  (Tag(s): Outputs)  :    MassDrugConcentrationCentral","- Variables (2) : Bisoprolol in depot and central compartment
- Bioreactions (2):  Drug absorption, drug clearance in central compartment
- ODEs (0): None.
- Parameters (27): Drug pharmacokinetic and patient related.
- Compartments (2): depot and central compartment","- Possibility to design the administration protocol (dose, frequency)
- Possibility to vary patients characteristics (body-weight, creatinine clearance, Patient skeletal muscle mass index)",200,Freemium
Treatments Library,Ivosidenib,Jiang - 2021,PK,"Ivosidenib is an oral small molecule inhibitor that selectively targets and inhibits the mutant IDH1 (isocitrate dehydrogenase 1) enzyme. It is used in the treatment of certain hematologic malignancies, particularly acute myeloid leukemia (AML) with an IDH1 mutation. By inhibiting the mutated enzyme, ivosidenib helps restore normal cellular metabolism, reducing the production of an oncometabolite called 2-hydroxyglutarate, which is associated with cancer progression. Ivosidenib is approved for use in patients with relapsed or refractory AML and other IDH1-mutant cancers.
The developed model is PK 2 compartments model.","- Treatment: Ivosidenib
- Species: Human
- Pathology: Acute myeloid leukemia
- Biological context: The model objective was to develope a population PK model for ivosidenib using a subset of available phase I study data. The disposition of ivosidenib in the target population, identification of intrinsic and extrinsic factors influencing ivosidenib PK variability (including concomitant medications: Cyp inhibitors).
- Virtual population characteristics: From the manuscript, see Example 1 Vpop design.
- Time scale: days to weeks
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  Dose_ini
To change Cyp inihbitors(Tag(s): PDK):typeOfCypInhibitor
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  patient_weight
- Albumin level:  patient_albumin
Standard simulations:
- Advanced PK (Several doses):  Duration: 26 Days; Observation Frequency: 30 minutes","Suggested Outputs:
- Drug concentrations  in central compartment  (Tag(s): Outputs)  :    ivo_concentrationCentral","- Variables (3) : Ivosidenib in central, peripheral, depot compartments
- Bioreactions (4):  Drug injection, drug clearance, and drug distribution between central, peripheral.
- ODEs (0): None.
- Parameters (37): Drug pharmacokinetic and patient related.
- Compartments (3): central, peripheral, depot","- Possibility to design the administration protocol (dose, frequency)
- Possibility to vary patients characteristics (body-weight, serum albumin)
- Possibility to select the type of Cyp inhibitors administered",200,Freemium
Treatments Library,UDCA - Ursodeoxycholic acid,P Zuo - 2016,PBPK,"A systems model was developed to characterize the metabolism and disposition of ursodeoxycholic acid (UDCA) and its conjugates in healthy individuals, using pharmacokinetic (PK) data from published studies. This model was designed to investigate the distribution of oral UDCA and explore potential interactions affecting its therapeutic effects when its enterohepatic recirculation is disrupted. The base model was empirically adapted for patients with primary biliary cirrhosis (PBC), incorporating current knowledge of disease pathophysiology and clinical data. Simulations were performed for PBC patients under two competing hypotheses: one where both UDCA and its conjugates' ileal absorption is inhibited, and another where only the conjugates' absorption is inhibited. The simulations revealed distinct differences in bile acid distribution patterns in plasma and bile. The adapted UDCA model for PBC patients offers a platform to study complex therapeutic drug interactions involving UDCA, its conjugates, and the inhibition of ileal bile acid transport in this rare patient population.","- Treatment: UDCA
- Species: Human
- Pathology: Healthy & primary biliary cirrhosis
- Biological context: Pharmacokinetics of UCDA and its conjugate. It can be applied to both healthy subject and patients with bile acids troubles.
- Virtual population characteristics: None.
- Time scale: days to weeks
- Biological scale: -","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  TreatmentUDCA_Dose
Standard simulations:
- Advanced PK (Several doses):  Duration: 10 Days; Observation Frequency: 5 minutes","Suggested Outputs:
- UDCA concentrations  in plasma  (Tag(s): Outputs)  :    SerumUDCA_massConc
- gUDCA concentrations  in plasma  (Tag(s): Outputs)  :    SerumGUDCA
- tUDCA concentrations  in plasma  (Tag(s): Outputs)  :    SerumTUDCA","- Variables (22) : UDCA, GUDCA and TUDCA in all compartments. Stomach is only used for UDCA.
- Bioreactions (0):  None.
- ODEs (22): For each variable.
- Parameters (60): Drug pharmacokinetic and protocol related (dose, meals and snack).
- Compartments (8): Stomach, Intestine, Portal Vein, Blood, Liver, Biliary system, kidney, colon.","- Possibility to design the administration protocol (dose, frequency)
- Possibility to vary meals and snack time
- Inputs of interest:
    TreatmentUDCA_Dose: Dose of UDCA [mg]
    TreatmentUDCA_Start, TreatmentUDCA_Recurrence, TreatmentUDCA_NbOccurence: Define the regimen (beginning, delay between doses, number of doses)
  
- Outputs of interest
    Serum_UDCA, Serum_GUDCA, Serum_TUDCA: UDCA and its conjugates concentrations in plasma [µmol/L]",200,Freemium
Treatments Library,Lu - Patritumab Deruxtecan,Lu - 2022,PK,"Patritumab Deruxtecan (HER3-DXd) is an antibody-drug conjugate (ADC) targeting the HER3 receptor (a member of the EGFR family), which is overexpressed in various cancers. The drug consists of a fully human monoclonal antibody (patritumab) linked to a topoisomerase I inhibitor (deruxtecan), which is a cytotoxic payload. Upon binding to HER3 on cancer cells, the ADC is internalized, and the cytotoxic agent is released, leading to cell death.
Population PK modeling for deruxtecan (DXd)-conjugated antibody (representing patritumab deruxtecan) and unconjugated MAAA-1181a (DXd, payload) was carried out sequentially. DXd-conjugated antibody PK was described using a 2-compartment model with parallel linear and nonlinear clearance. Unconjugated DXd PK was described using a 1-compartment model with linear clearance and release of DXd as a first-order, time-dependent function of the level of DXd-conjugated antibody in the central compartment.","- Treatment: antibody drug conjugate : Patritumab Deruxtecan
- Species: Human
- Pathology: Non‑Small Cell Lung Cancer, breast cancer and colorectal cancer
- Biological context: The developped model is a population PK model for patritumab deruxtecan in patients with solid tumors.
- Virtual population characteristics: Introduce variability using covariates (weight, albumin serum level, gender, type of cancer and hepatic impairment)
- Time scale:  days to months
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  PatientSpecificDose
- Choose between Oral or IV administration:  OralOrIVAdministration
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  bodyWeight
- Type of cancer:  cancerType
Standard simulations:
- Simple PK (1 dose):  Duration: 1 Day; Observation Frequency: 2 hours
- Advanced PK (Several doses):  Duration: 7 Days; Observation Frequency: 2 hours","Suggested Outputs:
- DxD (Deruxtecan) concentrations  in plasma  (Tag(s): Outputs)  :    UnconjugatedDxDConcentrationCentral, ConjugatedDxDConcentrationCentral
- Monoclonal Antibody amount  (Type: Species):  DxDConjugatedmAb_central","- Variables (3) : Patritumab Deruxtecan and unconjugated Deruxtecan in central & peripheral compartments
- Bioreactions (6): Dynamics of Patritumab Deruxtecan and unconjugated Deruxtecan in central & peripheral compartments
- Parameters (60): All equilibrium constants & protocol specific parameters
- Compartments (3):  central & peripheral compartments for Patritumab Deruxtecan and central compartment for unconjugated Deruxtecan","- Possibility to vary  regimen (dose, number of doses, frequency, spacing between 2 doses)
- Possibility to change patients descriptors (gender, hepatic impairment status, weight, baseline albumin serum level, type of cancer)
- Outputs of interest (tag Model::Outputs):
    ConjugatedDxDConcentrationCentral: Plasma Patritumab Deruxtecan concentration [ng/mL]
    UnconjugatedDxDConcentrationCentral: Plasma unconjugated Deruxtecan concentration [ng/mL]",200,Freemium
Treatments Library,Glasdegib,Lin et .al 2019,PK,"Glasdegib is a small molecule inhibitor of the Hedgehog signaling pathway, specifically targeting the Smoothened (SMO) receptor. It is used in the treatment of certain types of cancer, particularly acute myeloid leukemia (AML). By inhibiting the Hedgehog pathway, Glasdegib can help to prevent the proliferation and survival of cancer cells. It is typically used in combination with low-dose cytarabine for patients with newly diagnosed AML who are not candidates for intensive chemotherapy.
A 2-compartment model best described the data and included the following parameters: apparent total clearance (CL/F), apparent central volume of distribution (Vc/F), apparent peripheral volume of distribution (Vp/F), intercompartmental clearance (Q/F), and first-order absorption rate constant (ka). Interindividual variability (IIV) in the PK parameters was modeled using multiplicative exponential random effects. Residual variability was modeled using a proportional error model with log-transformed glasdegib plasma concentrations and thetarized sigma.","- Treatment: Glasdegib
- Species: Human
- Pathology: Advanced Hematologic Malignancies and Solid Tumors
- Biological context: This model has been developed to characterize glasdegib kinetic behavior and to determine the sources of variability in glasdegib PK parameters through covariate analysis.
- Virtual population characteristics: Baseline body weight, percentage bone marrow blasts, creatinine clearance, cytochrome P450 3A inhibitors use of moderate or strong are used as covariates
- Time scale:  days to months
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Type of drug dosage :  PatientSpecificDose
- Drug dose:  dosePerBodyWeight  ,  doseFlat
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  patient_weight
- Tumor type (Solid, or hematologic malignancy):  TumorType
Standard simulations:
- Simple PK (1 dose):  Duration: 1 Day; Observation Frequency: 2 hours
- Advanced PK (Several doses):  Duration: 7 Days; Observation Frequency: 2 hours","Suggested Outputs:
- Drug concentrations  in plasma and Blood  (Tag(s): Outputs)  :    MassDrugConcentrationCentral_predicted","- Variables (3) : Glasdegib in depot, central and peripheral compartments
- Bioreactions (5): Dynamics of Glasdegib in depot, central and peripheral compartments
- Parameters (48): All equilibrium constants and protocol specific parameters
- Compartments (3):  depot, central and peripheral compartments","- Possibility to modify patients characteristics (body-weight, percentage bone marrow blasts, creatinine clearance, cytochrome P450 3A inhibitors used (none, moderate or strong)
- Possibility to vary regimen (number of doses, frequency, spacing between 2 doses)
- Possibility to choose if the administered dose is oral or IV
- Possibility to choose if the administered dose is flat, per body-weight or per body surface area
- Outputs of interest:
    MassDrugConcentrationCentral_WithResidualError: Plasma drug concentration with residual error [ng/mL]
    MassDrugConcentrationCentral_predicted: Plasma drug concentration without residual error [ng/mL]",200,Freemium
Treatments Library,Sunitinib,Yu - 2014,PK,"Sunitinib is an oral tyrosine kinase inhibitor used in the treatment of certain types of cancer. It works by blocking multiple molecular targets involved in tumor growth, angiogenesis (the formation of new blood vessels), and metastatic progression of cancer. Sunitinib is commonly prescribed for renal cell carcinoma (kidney cancer), gastrointestinal stromal tumors (GIST), and pancreatic neuroendocrine tumors. It interferes with the pathways that promote cancer cell proliferation and blood supply, thereby inhibiting tumor growth and spread.
N-desethyl sunitinib (SU12662), the active metabolite of sunitinib, shows similar activity to sunitinib.
The developed model is a one and two-compartments pharmacokinetic (PK) model describing the distribution and elimination of a sunitinib and SU12662 respectively. The first compartment typically represents the central compartment, which includes the bloodstream and tissues where the drug is rapidly distributed. The second compartment represents peripheral tissues, where the drug distribution is slower.
It was assumed that the sunitinib concentration in the hypothetical enzyme site was in equilibrium with the plasma concentration in the sunitinib central compartment. Sunitinib is firstly absorbed to the hypothetical enzyme compartment, where sunitinib remains either unchanged or is metabolized. Subsequently, unchanged sunitinib and metabolite distribute to the central compartment. Sunitinib is further metabolized from the systemic circulation by the same enzyme. SU12662 distributes to its peripheral compartment and can also be metabolized from the systemic circulation.","- Treatment: Sunitinib and its active metabolite SU12662
- Species: Human
- Pathology: Cancer
- Biological context: The primary aims of the model were to develop an improved PK model that circumvented some previous model limitations (e.g. limited dataset or lacked important elements such as correlations between sunitinib and its metabolite) and to prove the utility of the PK model in treatment optimization in clinical practice.
- Virtual population characteristics: Introduce variability using allometric scaling for clearance and volume of distribution for both sunitinib and SU12662. Inter-Individual Variability has been also introduced on clearance; volume of distribution of the central compartment. Some correlation has been introduced on both sunitinib and SU12662 clearance, both volume of distribution of the central compartment , and between clearance and volume of distribution of the central compartment  of SU12662 as 0.53, 0.48 and 0.45, respectively.    Example of virtual population based on the manuscript
      null

- Time scale: days to weeks
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  Administered_dose_mg
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  Patient_BW
Standard simulations:
- Advanced PK (Several doses):  Duration: 42 Days; Observation Frequency: 30 minutes","Suggested Outputs:
- Sunitinib concentrations  in plasma  (Tag(s): Outputs)  :    MassConc_Sunitinib_central
- SU12662 concentrations  in plasma  (Tag(s): Outputs)  :    MassConc_SU12662_central","- Variables (4): Sunitinib and its active metabolite SU12662 in central, peripheral and depot compartments
- ODEs (4): Dynamics of Sunitinib and  SU12662 in central, peripheral and depot compartments
- Parameters (42): All equilibrium constants & protocol specific parameters
- Compartments (3):  central, peripheral and tumor","- Possibility to vary regimen (dose, number of doses, frequency, spacing between 2 doses)
- Outputs of interest:
    MassConc_Sunitinib_central: Plasma Sunitinib concentration without residual error [nanog / mL]
    MassConc_SU12662_central: Plasma SU12662 concentration without residual error [nanog / mL]
    MassConc_Sunitinib_central_withError: Plasma Sunitinib concentration with residual error [nanog / mL]
    MassConc_SU12662_central_withError: Plasma SU12662 concentration with residual error [nanog / mL]",200,Freemium
Treatments Library,Hosseini - FLT3L-Fc,Hosseini - 2024,QSP,"Fms-related tyrosine kinase 3 ligand (FLT3L) is a soluble growth factor (or cytokine) that plays a critical role in regulating hematopoiesis. FLT3L functions by agonizing the fms-related tyrosine kinase 3 receptor (FLT3; also known as CD135), which is expressed on dentritic cells (DC) as well as myeloid and lymphoid progenitor cells. Agonism of this pathway initiates signaling cascades that promote DC proliferation, differentiation, mobilization, and survival. FLT3L treatment has been shown to expand not only cDC1s, but also conventional type 2 DCs (cDC2s), plasmacytoid DCs (pDCs), and other immune cells of myeloid origin in blood, lymphoid organs, and tumors.
The FLT3L-Fc minimal PBPK model is a second-generation mPBPK model specifically for monoclonal antibodies (mAb) by including (lumping) several essential components of mAb PK used in full PBPK models. These components include convection as the primary mechanism of antibody movement from plasma into tissues and return to plasma with interstitial fluid as the major extravascular distribution space. Tight tissue represents  muscle, skin, adipose and brain whereas leaky tissue represent all other tissues (liver, kidney, heart, etc.).
A one-compartment model with a subcutaneous compartment and a nonlinear clearance term describes the PK of FLT3L (CDX-301).Free drug in the central compartment is linked to an indirect PD response model via a series of transit compartments to capture the observed expansion of cDC1 and cDC2 cells.","- Treatment:  FLT3L-Fc &  FLT3L
- Species: Human. Note the initial model was also used for cynomolgus monkeys, but for now only human parameter set is implemented.
- Pathology: Cancer
- Biological context: This model has been developed to integrate the molecule’s mechanism of action, as well as the complex preclinical and clinical PK/PD data, to support the preclinical-to-clinical translation of FLT3L-Fc.
- Virtual population characteristics: None
- Time scale: days to months
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Type of drug dosage :  drugQuantity
- Drug dose:  dose_CDX_ugkg
To change patient and population descriptors(Tag(s): PDK, PDU):
- Body weight:  BW
Standard simulations:
- Simple PK (1 dose):  Duration: 1 Day; Observation Frequency: 2 hours
- Advanced PK (Several doses):  Duration: 7 Days; Observation Frequency: 2 hours","Suggested Outputs:
- Drug concentrations  in plasma and Blood  (Tag(s): Outputs)  :    ConcCentral_ugmL,CenConc_CDX_ngmL, PD_DC1","- Variables (19) : FLT3L-Fc (free/bound), FLT3L (free/bound), FLT3 receptor (free/bound) in plasma, lymph, tight and leaky tissue, cDC1 & cDC2
- ODEs (19): Dynamics of variables in plasma, lymph, tight and leaky tissue
- Parameters (109): All equilibrium constants, technical and outputs of interest
- Compartments (4):  plasma, lymph, tight and leaky tissue","- Possibility to modify mAb properties (molecular weight)
- Possibility to select drug administered (FLT3L-Fc or FLT3L)
- Possibility to vary regimen (dose, number of doses, frequency, spacing between 2 doses)
- For FLT3L-Fc administration, possibility to select between flat dose or dose per body weight
- Outputs of interest (with tag Model::Output)",200,Freemium
Treatments Library,Vincristine,Esther van de Velde - 2020,PK,"Vincristine (VCR) is a chemotherapy medication used to treat various types of cancer, including leukemia, lymphoma, and solid tumors. It belongs to a class of drugs called vinca alkaloids, which work by inhibiting the growth of cancer cells by preventing their division. Vincristine is usually administered intravenously and is often part of a combination chemotherapy regimen.
The developed model is a two-compartment pharmacokinetic (PK) model describing the distribution and elimination of a drug within the body using two interconnected compartments. The first compartment typically represents the central compartment, which includes the bloodstream and tissues where the drug is rapidly distributed. The second compartment represents peripheral tissues, where the drug distribution is slower.
A  tumor compartment has also been introduced but fluxes between central and tumor are kept to 0 for now.","- Treatment: Vincristine
- Species: Human (pediatric)
- Pathology: Cancer
- Biological context: The primary aims of the model were: (1) to assess PK of VCR given to pediatric cancer patients as either push injections or 1 h infusions; (2) to investigate the association between PK and exposure parameters and induced peripheral neuropathy ; (3) to investigate the effect of concurrent azole antifungal treatment on VCR PK parameters.
- Virtual population characteristics: Introduce variability using covariates (body mass and body surface area). Inter-Individual Variability has been also introduced on clearance; volume of distribution of the central compartment; inter-compartmental clearance and volume of distribution of the peripheral compartment.
- Time scale:  hour
- Biological scale: Whole body","Main Inputs:
To vary regimen for drug administration(Tag(s): PS):
- Drug dose:  DosePerBSA
To change patient and population descriptors(Tag(s): PDK):
- Body weight:  BW
Standard simulations:
- Simple PK (1 dose):  Duration: 3 hours; Observation Frequency: 5 minutes","Suggested Outputs:
- Vincristine concentrations  in plasma  (Tag(s): Outputs)  :    MassConc_Vincristine","- Variables (3): Vincristine in central, peripheral and tumor compartments
- Bioreactions (6): Dynamics of Vincristine in central, peripheral and tumor compartments
- Parameters (47): All equilibrium constants & protocol specific parameters
- Compartments (3):  central, peripheral and tumor","- Possibility to vary regimen (dose, number of doses, frequency, spacing between 2 doses)
- Possibility to choose between bolus or infusion administration
- Outputs of interest:
    MassConc_Vincristine: Plasma drug concentration [nanog / mL]",200,Freemium
